timestamp,timestamp_str,timestamp_utc,timestamp_et,time_et,hour_et,minute_et,open,high,low,close,volume
2025-07-02 00:00:00+00:00,2025-07-02 00:00:00+00:00,2025-07-02 00:00:00+00:00,2025-07-01 20:00:00-04:00,20:00:00,20,0,207.86,208.25,207.7696,207.96,6085759.0
2025-07-02 00:01:00+00:00,2025-07-02 00:01:00+00:00,2025-07-02 00:01:00+00:00,2025-07-01 20:01:00-04:00,20:01:00,20,1,207.97,208.14,207.86,208.13,14243.0
2025-07-02 00:02:00+00:00,2025-07-02 00:02:00+00:00,2025-07-02 00:02:00+00:00,2025-07-01 20:02:00-04:00,20:02:00,20,2,207.96,208.21,207.96,208.21,40755.0
2025-07-02 00:03:00+00:00,2025-07-02 00:03:00+00:00,2025-07-02 00:03:00+00:00,2025-07-01 20:03:00-04:00,20:03:00,20,3,208.199,208.44,208.15,208.4,527677.0
2025-07-02 00:04:00+00:00,2025-07-02 00:04:00+00:00,2025-07-02 00:04:00+00:00,2025-07-01 20:04:00-04:00,20:04:00,20,4,208.45,208.88,208.35,208.7,166330.0
2025-07-02 00:05:00+00:00,2025-07-02 00:05:00+00:00,2025-07-02 00:05:00+00:00,2025-07-01 20:05:00-04:00,20:05:00,20,5,208.71,208.75,208.42,208.55,82988.0
2025-07-02 00:06:00+00:00,2025-07-02 00:06:00+00:00,2025-07-02 00:06:00+00:00,2025-07-01 20:06:00-04:00,20:06:00,20,6,208.4303,208.65,208.35,208.35,173887.0
2025-07-02 00:07:00+00:00,2025-07-02 00:07:00+00:00,2025-07-02 00:07:00+00:00,2025-07-01 20:07:00-04:00,20:07:00,20,7,208.35,208.55,208.2632,208.5,19230.0
2025-07-02 00:08:00+00:00,2025-07-02 00:08:00+00:00,2025-07-02 00:08:00+00:00,2025-07-01 20:08:00-04:00,20:08:00,20,8,208.55,208.6201,208.4001,208.549,69221.0
2025-07-02 00:09:00+00:00,2025-07-02 00:09:00+00:00,2025-07-02 00:09:00+00:00,2025-07-01 20:09:00-04:00,20:09:00,20,9,208.5018,208.5498,207.82,208.5,18166.0
2025-07-02 00:10:00+00:00,2025-07-02 00:10:00+00:00,2025-07-02 00:10:00+00:00,2025-07-01 20:10:00-04:00,20:10:00,20,10,208.48,208.49,208.3,208.4,6639.0
2025-07-02 00:11:00+00:00,2025-07-02 00:11:00+00:00,2025-07-02 00:11:00+00:00,2025-07-01 20:11:00-04:00,20:11:00,20,11,208.31,208.39,207.82,208.301,12521.0
2025-07-02 00:12:00+00:00,2025-07-02 00:12:00+00:00,2025-07-02 00:12:00+00:00,2025-07-01 20:12:00-04:00,20:12:00,20,12,208.38,208.55,208.38,208.44,5112.0
2025-07-02 00:13:00+00:00,2025-07-02 00:13:00+00:00,2025-07-02 00:13:00+00:00,2025-07-01 20:13:00-04:00,20:13:00,20,13,208.44,208.45,208.44,208.45,1239.0
2025-07-02 00:14:00+00:00,2025-07-02 00:14:00+00:00,2025-07-02 00:14:00+00:00,2025-07-01 20:14:00-04:00,20:14:00,20,14,208.45,208.54,208.45,208.53,7455.0
2025-07-02 00:15:00+00:00,2025-07-02 00:15:00+00:00,2025-07-02 00:15:00+00:00,2025-07-01 20:15:00-04:00,20:15:00,20,15,208.5,208.59,208.46,208.59,2998.0
2025-07-02 00:16:00+00:00,2025-07-02 00:16:00+00:00,2025-07-02 00:16:00+00:00,2025-07-01 20:16:00-04:00,20:16:00,20,16,208.55,208.71,208.55,208.71,4631.0
2025-07-02 00:17:00+00:00,2025-07-02 00:17:00+00:00,2025-07-02 00:17:00+00:00,2025-07-01 20:17:00-04:00,20:17:00,20,17,208.63,208.71,208.55,208.69,4677.0
2025-07-02 00:18:00+00:00,2025-07-02 00:18:00+00:00,2025-07-02 00:18:00+00:00,2025-07-01 20:18:00-04:00,20:18:00,20,18,208.68,208.89,208.62,208.89,16223.0
2025-07-02 00:19:00+00:00,2025-07-02 00:19:00+00:00,2025-07-02 00:19:00+00:00,2025-07-01 20:19:00-04:00,20:19:00,20,19,208.89,209.28,208.89,209.25,39671.0
2025-07-02 00:20:00+00:00,2025-07-02 00:20:00+00:00,2025-07-02 00:20:00+00:00,2025-07-01 20:20:00-04:00,20:20:00,20,20,209.25,209.45,209.16,209.26,32121.0
2025-07-02 00:21:00+00:00,2025-07-02 00:21:00+00:00,2025-07-02 00:21:00+00:00,2025-07-01 20:21:00-04:00,20:21:00,20,21,209.42,209.42,209.14,209.27,5512.0
2025-07-02 00:22:00+00:00,2025-07-02 00:22:00+00:00,2025-07-02 00:22:00+00:00,2025-07-01 20:22:00-04:00,20:22:00,20,22,209.25,209.8,209.25,209.7,45030.0
2025-07-02 00:23:00+00:00,2025-07-02 00:23:00+00:00,2025-07-02 00:23:00+00:00,2025-07-01 20:23:00-04:00,20:23:00,20,23,209.56,209.7191,209.41,209.416,10690.0
2025-07-02 00:24:00+00:00,2025-07-02 00:24:00+00:00,2025-07-02 00:24:00+00:00,2025-07-01 20:24:00-04:00,20:24:00,20,24,209.52,209.65,209.5,209.58,8738.0
2025-07-02 00:25:00+00:00,2025-07-02 00:25:00+00:00,2025-07-02 00:25:00+00:00,2025-07-01 20:25:00-04:00,20:25:00,20,25,209.5,209.52,209.32,209.32,9423.0
2025-07-02 00:26:00+00:00,2025-07-02 00:26:00+00:00,2025-07-02 00:26:00+00:00,2025-07-01 20:26:00-04:00,20:26:00,20,26,209.12,209.3,209.11,209.1201,5031.0
2025-07-02 00:27:00+00:00,2025-07-02 00:27:00+00:00,2025-07-02 00:27:00+00:00,2025-07-01 20:27:00-04:00,20:27:00,20,27,209.2,209.29,209.16,209.16,3068.0
2025-07-02 00:28:00+00:00,2025-07-02 00:28:00+00:00,2025-07-02 00:28:00+00:00,2025-07-01 20:28:00-04:00,20:28:00,20,28,209.16,209.21,209.03,209.19,26232.0
2025-07-02 00:29:00+00:00,2025-07-02 00:29:00+00:00,2025-07-02 00:29:00+00:00,2025-07-01 20:29:00-04:00,20:29:00,20,29,209.25,209.32,209.2,209.2,3407.0
2025-07-02 00:30:00+00:00,2025-07-02 00:30:00+00:00,2025-07-02 00:30:00+00:00,2025-07-01 20:30:00-04:00,20:30:00,20,30,209.2449,209.3,209.2449,209.3,1285.0
2025-07-02 00:31:00+00:00,2025-07-02 00:31:00+00:00,2025-07-02 00:31:00+00:00,2025-07-01 20:31:00-04:00,20:31:00,20,31,209.25,209.25,209.15,209.15,3068.0
2025-07-02 00:32:00+00:00,2025-07-02 00:32:00+00:00,2025-07-02 00:32:00+00:00,2025-07-01 20:32:00-04:00,20:32:00,20,32,209.174,209.174,209.15,209.15,2559.0
2025-07-02 00:33:00+00:00,2025-07-02 00:33:00+00:00,2025-07-02 00:33:00+00:00,2025-07-01 20:33:00-04:00,20:33:00,20,33,209.14,209.14,209.11,209.12,1752.0
2025-07-02 00:34:00+00:00,2025-07-02 00:34:00+00:00,2025-07-02 00:34:00+00:00,2025-07-01 20:34:00-04:00,20:34:00,20,34,209.1,209.16,209.03,209.16,7032.0
2025-07-02 00:35:00+00:00,2025-07-02 00:35:00+00:00,2025-07-02 00:35:00+00:00,2025-07-01 20:35:00-04:00,20:35:00,20,35,209.04,209.26,209.04,209.26,5462.0
2025-07-02 00:36:00+00:00,2025-07-02 00:36:00+00:00,2025-07-02 00:36:00+00:00,2025-07-01 20:36:00-04:00,20:36:00,20,36,209.32,209.49,209.3,209.49,12852.0
2025-07-02 00:37:00+00:00,2025-07-02 00:37:00+00:00,2025-07-02 00:37:00+00:00,2025-07-01 20:37:00-04:00,20:37:00,20,37,209.4696,209.4696,209.4696,209.4696,1520.0
2025-07-02 00:38:00+00:00,2025-07-02 00:38:00+00:00,2025-07-02 00:38:00+00:00,2025-07-01 20:38:00-04:00,20:38:00,20,38,209.49,209.55,209.45,209.5,13625.0
2025-07-02 00:39:00+00:00,2025-07-02 00:39:00+00:00,2025-07-02 00:39:00+00:00,2025-07-01 20:39:00-04:00,20:39:00,20,39,209.5,209.56,209.45,209.5,9505.0
2025-07-02 00:40:00+00:00,2025-07-02 00:40:00+00:00,2025-07-02 00:40:00+00:00,2025-07-01 20:40:00-04:00,20:40:00,20,40,209.5,209.54,209.44,209.45,2602.0
2025-07-02 00:41:00+00:00,2025-07-02 00:41:00+00:00,2025-07-02 00:41:00+00:00,2025-07-01 20:41:00-04:00,20:41:00,20,41,209.44,209.44,209.2,209.2,1378.0
2025-07-02 00:42:00+00:00,2025-07-02 00:42:00+00:00,2025-07-02 00:42:00+00:00,2025-07-01 20:42:00-04:00,20:42:00,20,42,209.42,209.42,209.2,209.39,2598.0
2025-07-02 00:43:00+00:00,2025-07-02 00:43:00+00:00,2025-07-02 00:43:00+00:00,2025-07-01 20:43:00-04:00,20:43:00,20,43,209.3798,209.41,209.25,209.41,2834.0
2025-07-02 00:44:00+00:00,2025-07-02 00:44:00+00:00,2025-07-02 00:44:00+00:00,2025-07-01 20:44:00-04:00,20:44:00,20,44,209.41,209.41,209.22,209.22,2142.0
2025-07-02 00:45:00+00:00,2025-07-02 00:45:00+00:00,2025-07-02 00:45:00+00:00,2025-07-01 20:45:00-04:00,20:45:00,20,45,209.38,209.39,209.23,209.39,2625.0
2025-07-02 00:46:00+00:00,2025-07-02 00:46:00+00:00,2025-07-02 00:46:00+00:00,2025-07-01 20:46:00-04:00,20:46:00,20,46,209.38,209.44,209.3,209.44,15419.0
2025-07-02 00:47:00+00:00,2025-07-02 00:47:00+00:00,2025-07-02 00:47:00+00:00,2025-07-01 20:47:00-04:00,20:47:00,20,47,209.4354,209.44,209.34,209.34,1577.0
2025-07-02 00:48:00+00:00,2025-07-02 00:48:00+00:00,2025-07-02 00:48:00+00:00,2025-07-01 20:48:00-04:00,20:48:00,20,48,209.36,209.37,209.3222,209.36,2103.0
2025-07-02 00:49:00+00:00,2025-07-02 00:49:00+00:00,2025-07-02 00:49:00+00:00,2025-07-01 20:49:00-04:00,20:49:00,20,49,209.33,209.41,209.33,209.41,1990.0
2025-07-02 00:50:00+00:00,2025-07-02 00:50:00+00:00,2025-07-02 00:50:00+00:00,2025-07-01 20:50:00-04:00,20:50:00,20,50,209.4,209.4,209.35,209.35,861.0
2025-07-02 00:51:00+00:00,2025-07-02 00:51:00+00:00,2025-07-02 00:51:00+00:00,2025-07-01 20:51:00-04:00,20:51:00,20,51,209.39,209.4,209.28,209.35,3285.0
2025-07-02 00:52:00+00:00,2025-07-02 00:52:00+00:00,2025-07-02 00:52:00+00:00,2025-07-01 20:52:00-04:00,20:52:00,20,52,209.3398,209.34,209.25,209.25,2758.0
2025-07-02 00:53:00+00:00,2025-07-02 00:53:00+00:00,2025-07-02 00:53:00+00:00,2025-07-01 20:53:00-04:00,20:53:00,20,53,209.29,209.32,209.25,209.32,2400.0
2025-07-02 00:54:00+00:00,2025-07-02 00:54:00+00:00,2025-07-02 00:54:00+00:00,2025-07-01 20:54:00-04:00,20:54:00,20,54,209.2501,209.3,209.25,209.25,3723.0
2025-07-02 00:55:00+00:00,2025-07-02 00:55:00+00:00,2025-07-02 00:55:00+00:00,2025-07-01 20:55:00-04:00,20:55:00,20,55,209.25,209.25,209.23,209.23,1512.0
2025-07-02 00:56:00+00:00,2025-07-02 00:56:00+00:00,2025-07-02 00:56:00+00:00,2025-07-01 20:56:00-04:00,20:56:00,20,56,209.11,209.28,209.03,209.28,7167.0
2025-07-02 00:57:00+00:00,2025-07-02 00:57:00+00:00,2025-07-02 00:57:00+00:00,2025-07-01 20:57:00-04:00,20:57:00,20,57,209.28,209.28,209.12,209.13,1527.0
2025-07-02 00:58:00+00:00,2025-07-02 00:58:00+00:00,2025-07-02 00:58:00+00:00,2025-07-01 20:58:00-04:00,20:58:00,20,58,209.0664,209.19,209.0664,209.19,816.0
2025-07-02 00:59:00+00:00,2025-07-02 00:59:00+00:00,2025-07-02 00:59:00+00:00,2025-07-01 20:59:00-04:00,20:59:00,20,59,209.23,209.23,209.23,209.23,513.0
2025-07-02 01:00:00+00:00,2025-07-02 01:00:00+00:00,2025-07-02 01:00:00+00:00,2025-07-01 21:00:00-04:00,21:00:00,21,0,209.17,209.25,209.0,209.1,10003.0
2025-07-02 01:01:00+00:00,2025-07-02 01:01:00+00:00,2025-07-02 01:01:00+00:00,2025-07-01 21:01:00-04:00,21:01:00,21,1,209.23,209.2485,209.14,209.14,2046.0
2025-07-02 01:02:00+00:00,2025-07-02 01:02:00+00:00,2025-07-02 01:02:00+00:00,2025-07-01 21:02:00-04:00,21:02:00,21,2,209.18,209.5,209.18,209.4998,18621.0
2025-07-02 01:03:00+00:00,2025-07-02 01:03:00+00:00,2025-07-02 01:03:00+00:00,2025-07-01 21:03:00-04:00,21:03:00,21,3,209.48,209.5,209.31,209.434,2424.0
2025-07-02 01:04:00+00:00,2025-07-02 01:04:00+00:00,2025-07-02 01:04:00+00:00,2025-07-01 21:04:00-04:00,21:04:00,21,4,209.24,209.32,209.24,209.24,1432.0
2025-07-02 01:05:00+00:00,2025-07-02 01:05:00+00:00,2025-07-02 01:05:00+00:00,2025-07-01 21:05:00-04:00,21:05:00,21,5,209.25,209.25,207.82,207.82,1189.0
2025-07-02 01:06:00+00:00,2025-07-02 01:06:00+00:00,2025-07-02 01:06:00+00:00,2025-07-01 21:06:00-04:00,21:06:00,21,6,209.2,209.2,209.1,209.12,1653.0
2025-07-02 01:07:00+00:00,2025-07-02 01:07:00+00:00,2025-07-02 01:07:00+00:00,2025-07-01 21:07:00-04:00,21:07:00,21,7,209.02,209.1,209.0,209.1,3494.0
2025-07-02 01:08:00+00:00,2025-07-02 01:08:00+00:00,2025-07-02 01:08:00+00:00,2025-07-01 21:08:00-04:00,21:08:00,21,8,209.11,209.15,209.0,209.15,195048.0
2025-07-02 01:09:00+00:00,2025-07-02 01:09:00+00:00,2025-07-02 01:09:00+00:00,2025-07-01 21:09:00-04:00,21:09:00,21,9,209.17,209.2192,209.1,209.1002,953.0
2025-07-02 01:10:00+00:00,2025-07-02 01:10:00+00:00,2025-07-02 01:10:00+00:00,2025-07-01 21:10:00-04:00,21:10:00,21,10,209.2099,209.2099,209.17,209.1701,842.0
2025-07-02 01:11:00+00:00,2025-07-02 01:11:00+00:00,2025-07-02 01:11:00+00:00,2025-07-01 21:11:00-04:00,21:11:00,21,11,209.21,209.21,209.0101,209.08,8484.0
2025-07-02 01:12:00+00:00,2025-07-02 01:12:00+00:00,2025-07-02 01:12:00+00:00,2025-07-01 21:12:00-04:00,21:12:00,21,12,209.01,209.05,209.01,209.01,32283.0
2025-07-02 01:13:00+00:00,2025-07-02 01:13:00+00:00,2025-07-02 01:13:00+00:00,2025-07-01 21:13:00-04:00,21:13:00,21,13,209.06,209.06,209.06,209.06,293.0
2025-07-02 01:14:00+00:00,2025-07-02 01:14:00+00:00,2025-07-02 01:14:00+00:00,2025-07-01 21:14:00-04:00,21:14:00,21,14,209.1,209.1479,209.0101,209.0101,3075.0
2025-07-02 01:15:00+00:00,2025-07-02 01:15:00+00:00,2025-07-02 01:15:00+00:00,2025-07-01 21:15:00-04:00,21:15:00,21,15,209.05,209.05,209.0299,209.04,2991.0
2025-07-02 01:16:00+00:00,2025-07-02 01:16:00+00:00,2025-07-02 01:16:00+00:00,2025-07-01 21:16:00-04:00,21:16:00,21,16,209.0107,209.1,209.0107,209.1,1051.0
2025-07-02 01:17:00+00:00,2025-07-02 01:17:00+00:00,2025-07-02 01:17:00+00:00,2025-07-01 21:17:00-04:00,21:17:00,21,17,209.09,209.1398,209.09,209.1398,961.0
2025-07-02 01:18:00+00:00,2025-07-02 01:18:00+00:00,2025-07-02 01:18:00+00:00,2025-07-01 21:18:00-04:00,21:18:00,21,18,209.14,209.14,209.1,209.1,943.0
2025-07-02 01:19:00+00:00,2025-07-02 01:19:00+00:00,2025-07-02 01:19:00+00:00,2025-07-01 21:19:00-04:00,21:19:00,21,19,209.15,209.16,209.1,209.1,1238.0
2025-07-02 01:20:00+00:00,2025-07-02 01:20:00+00:00,2025-07-02 01:20:00+00:00,2025-07-01 21:20:00-04:00,21:20:00,21,20,209.24,209.24,209.1,209.12,1926.0
2025-07-02 01:21:00+00:00,2025-07-02 01:21:00+00:00,2025-07-02 01:21:00+00:00,2025-07-01 21:21:00-04:00,21:21:00,21,21,209.14,209.14,209.14,209.14,678.0
2025-07-02 01:22:00+00:00,2025-07-02 01:22:00+00:00,2025-07-02 01:22:00+00:00,2025-07-01 21:22:00-04:00,21:22:00,21,22,209.15,209.15,209.04,209.04,3144.0
2025-07-02 01:23:00+00:00,2025-07-02 01:23:00+00:00,2025-07-02 01:23:00+00:00,2025-07-01 21:23:00-04:00,21:23:00,21,23,209.04,209.0401,208.98,208.98,5996.0
2025-07-02 01:24:00+00:00,2025-07-02 01:24:00+00:00,2025-07-02 01:24:00+00:00,2025-07-01 21:24:00-04:00,21:24:00,21,24,208.87,208.87,208.87,208.87,286.0
2025-07-02 01:25:00+00:00,2025-07-02 01:25:00+00:00,2025-07-02 01:25:00+00:00,2025-07-01 21:25:00-04:00,21:25:00,21,25,208.9,208.9473,208.89,208.9473,2798.0
2025-07-02 01:26:00+00:00,2025-07-02 01:26:00+00:00,2025-07-02 01:26:00+00:00,2025-07-01 21:26:00-04:00,21:26:00,21,26,208.94,208.95,208.94,208.95,1235.0
2025-07-02 01:27:00+00:00,2025-07-02 01:27:00+00:00,2025-07-02 01:27:00+00:00,2025-07-01 21:27:00-04:00,21:27:00,21,27,208.95,209.09,208.94,209.09,3036.0
2025-07-02 01:28:00+00:00,2025-07-02 01:28:00+00:00,2025-07-02 01:28:00+00:00,2025-07-01 21:28:00-04:00,21:28:00,21,28,209.03,209.03,209.0122,209.0122,1025.0
2025-07-02 01:29:00+00:00,2025-07-02 01:29:00+00:00,2025-07-02 01:29:00+00:00,2025-07-01 21:29:00-04:00,21:29:00,21,29,209.1,209.1,209.01,209.01,1699.0
2025-07-02 01:30:00+00:00,2025-07-02 01:30:00+00:00,2025-07-02 01:30:00+00:00,2025-07-01 21:30:00-04:00,21:30:00,21,30,209.04,209.04,209.04,209.04,357.0
2025-07-02 01:31:00+00:00,2025-07-02 01:31:00+00:00,2025-07-02 01:31:00+00:00,2025-07-01 21:31:00-04:00,21:31:00,21,31,209.0101,209.03,209.0,209.0,1146.0
2025-07-02 01:32:00+00:00,2025-07-02 01:32:00+00:00,2025-07-02 01:32:00+00:00,2025-07-01 21:32:00-04:00,21:32:00,21,32,208.9,209.0,208.87,209.0,900.0
2025-07-02 01:33:00+00:00,2025-07-02 01:33:00+00:00,2025-07-02 01:33:00+00:00,2025-07-01 21:33:00-04:00,21:33:00,21,33,209.0065,209.0065,209.0065,209.0065,376.0
2025-07-02 01:34:00+00:00,2025-07-02 01:34:00+00:00,2025-07-02 01:34:00+00:00,2025-07-01 21:34:00-04:00,21:34:00,21,34,208.98,208.98,208.98,208.98,284.0
2025-07-02 01:35:00+00:00,2025-07-02 01:35:00+00:00,2025-07-02 01:35:00+00:00,2025-07-01 21:35:00-04:00,21:35:00,21,35,209.0,209.0,208.98,208.98,515.0
2025-07-02 01:36:00+00:00,2025-07-02 01:36:00+00:00,2025-07-02 01:36:00+00:00,2025-07-01 21:36:00-04:00,21:36:00,21,36,208.9401,208.9834,208.94,208.9834,850.0
2025-07-02 01:37:00+00:00,2025-07-02 01:37:00+00:00,2025-07-02 01:37:00+00:00,2025-07-01 21:37:00-04:00,21:37:00,21,37,208.92,209.0,208.88,208.93,2184.0
2025-07-02 01:38:00+00:00,2025-07-02 01:38:00+00:00,2025-07-02 01:38:00+00:00,2025-07-01 21:38:00-04:00,21:38:00,21,38,209.0,209.0,208.94,208.94,7416.0
2025-07-02 01:39:00+00:00,2025-07-02 01:39:00+00:00,2025-07-02 01:39:00+00:00,2025-07-01 21:39:00-04:00,21:39:00,21,39,208.95,209.1394,208.93,209.1394,10009.0
2025-07-02 01:40:00+00:00,2025-07-02 01:40:00+00:00,2025-07-02 01:40:00+00:00,2025-07-01 21:40:00-04:00,21:40:00,21,40,209.14,209.33,209.13,209.25,9377.0
2025-07-02 01:41:00+00:00,2025-07-02 01:41:00+00:00,2025-07-02 01:41:00+00:00,2025-07-01 21:41:00-04:00,21:41:00,21,41,209.23,209.4,209.23,209.4,5345.0
2025-07-02 01:42:00+00:00,2025-07-02 01:42:00+00:00,2025-07-02 01:42:00+00:00,2025-07-01 21:42:00-04:00,21:42:00,21,42,209.33,209.4,209.3,209.3501,11430.0
2025-07-02 01:43:00+00:00,2025-07-02 01:43:00+00:00,2025-07-02 01:43:00+00:00,2025-07-01 21:43:00-04:00,21:43:00,21,43,209.4,209.45,209.3999,209.4,4486.0
2025-07-02 01:44:00+00:00,2025-07-02 01:44:00+00:00,2025-07-02 01:44:00+00:00,2025-07-01 21:44:00-04:00,21:44:00,21,44,209.45,209.45,209.3,209.3,8139.0
2025-07-02 01:45:00+00:00,2025-07-02 01:45:00+00:00,2025-07-02 01:45:00+00:00,2025-07-01 21:45:00-04:00,21:45:00,21,45,209.42,209.42,209.3,209.3914,1469.0
2025-07-02 01:46:00+00:00,2025-07-02 01:46:00+00:00,2025-07-02 01:46:00+00:00,2025-07-01 21:46:00-04:00,21:46:00,21,46,209.4,209.43,209.3669,209.43,1949.0
2025-07-02 01:47:00+00:00,2025-07-02 01:47:00+00:00,2025-07-02 01:47:00+00:00,2025-07-01 21:47:00-04:00,21:47:00,21,47,209.42,209.43,209.2,209.2,7120.0
2025-07-02 01:48:00+00:00,2025-07-02 01:48:00+00:00,2025-07-02 01:48:00+00:00,2025-07-01 21:48:00-04:00,21:48:00,21,48,209.18,209.2099,209.12,209.2099,2421.0
2025-07-02 01:49:00+00:00,2025-07-02 01:49:00+00:00,2025-07-02 01:49:00+00:00,2025-07-01 21:49:00-04:00,21:49:00,21,49,209.218,209.25,209.17,209.25,708.0
2025-07-02 01:50:00+00:00,2025-07-02 01:50:00+00:00,2025-07-02 01:50:00+00:00,2025-07-01 21:50:00-04:00,21:50:00,21,50,209.17,209.2,209.17,209.2,1246.0
2025-07-02 01:51:00+00:00,2025-07-02 01:51:00+00:00,2025-07-02 01:51:00+00:00,2025-07-01 21:51:00-04:00,21:51:00,21,51,209.23,209.2676,209.2,209.25,2835.0
2025-07-02 01:52:00+00:00,2025-07-02 01:52:00+00:00,2025-07-02 01:52:00+00:00,2025-07-01 21:52:00-04:00,21:52:00,21,52,209.25,209.2899,209.2,209.2,3395.0
2025-07-02 01:53:00+00:00,2025-07-02 01:53:00+00:00,2025-07-02 01:53:00+00:00,2025-07-01 21:53:00-04:00,21:53:00,21,53,209.17,209.17,209.15,209.15,1121.0
2025-07-02 01:54:00+00:00,2025-07-02 01:54:00+00:00,2025-07-02 01:54:00+00:00,2025-07-01 21:54:00-04:00,21:54:00,21,54,209.233,209.233,209.0792,209.0792,903.0
2025-07-02 01:55:00+00:00,2025-07-02 01:55:00+00:00,2025-07-02 01:55:00+00:00,2025-07-01 21:55:00-04:00,21:55:00,21,55,209.07,209.2455,209.07,209.2455,842.0
2025-07-02 01:56:00+00:00,2025-07-02 01:56:00+00:00,2025-07-02 01:56:00+00:00,2025-07-01 21:56:00-04:00,21:56:00,21,56,209.12,209.12,209.12,209.12,275.0
2025-07-02 01:57:00+00:00,2025-07-02 01:57:00+00:00,2025-07-02 01:57:00+00:00,2025-07-01 21:57:00-04:00,21:57:00,21,57,209.25,209.25,209.12,209.18,989.0
2025-07-02 01:58:00+00:00,2025-07-02 01:58:00+00:00,2025-07-02 01:58:00+00:00,2025-07-01 21:58:00-04:00,21:58:00,21,58,209.07,209.2,209.07,209.15,2120.0
2025-07-02 01:59:00+00:00,2025-07-02 01:59:00+00:00,2025-07-02 01:59:00+00:00,2025-07-01 21:59:00-04:00,21:59:00,21,59,209.15,209.2,209.15,209.2,655.0
2025-07-02 02:00:00+00:00,2025-07-02 02:00:00+00:00,2025-07-02 02:00:00+00:00,2025-07-01 22:00:00-04:00,22:00:00,22,0,209.2,209.29,209.16,209.29,4347.0
2025-07-02 02:01:00+00:00,2025-07-02 02:01:00+00:00,2025-07-02 02:01:00+00:00,2025-07-01 22:01:00-04:00,22:01:00,22,1,209.29,209.29,209.29,209.29,1641.0
2025-07-02 02:02:00+00:00,2025-07-02 02:02:00+00:00,2025-07-02 02:02:00+00:00,2025-07-01 22:02:00-04:00,22:02:00,22,2,209.2011,209.29,209.1609,209.1609,1460.0
2025-07-02 02:03:00+00:00,2025-07-02 02:03:00+00:00,2025-07-02 02:03:00+00:00,2025-07-01 22:03:00-04:00,22:03:00,22,3,209.24,209.29,209.24,209.29,1141.0
2025-07-02 02:04:00+00:00,2025-07-02 02:04:00+00:00,2025-07-02 02:04:00+00:00,2025-07-01 22:04:00-04:00,22:04:00,22,4,209.27,209.29,209.1822,209.29,930.0
2025-07-02 02:05:00+00:00,2025-07-02 02:05:00+00:00,2025-07-02 02:05:00+00:00,2025-07-01 22:05:00-04:00,22:05:00,22,5,209.18,209.18,209.18,209.18,301.0
2025-07-02 02:06:00+00:00,2025-07-02 02:06:00+00:00,2025-07-02 02:06:00+00:00,2025-07-01 22:06:00-04:00,22:06:00,22,6,209.2807,209.2807,209.2807,209.2807,469.0
2025-07-02 02:08:00+00:00,2025-07-02 02:08:00+00:00,2025-07-02 02:08:00+00:00,2025-07-01 22:08:00-04:00,22:08:00,22,8,209.22,209.24,209.2,209.2399,1028.0
2025-07-02 02:09:00+00:00,2025-07-02 02:09:00+00:00,2025-07-02 02:09:00+00:00,2025-07-01 22:09:00-04:00,22:09:00,22,9,209.25,209.25,209.24,209.24,1090.0
2025-07-02 02:10:00+00:00,2025-07-02 02:10:00+00:00,2025-07-02 02:10:00+00:00,2025-07-01 22:10:00-04:00,22:10:00,22,10,209.26,209.3,209.26,209.3,627.0
2025-07-02 02:11:00+00:00,2025-07-02 02:11:00+00:00,2025-07-02 02:11:00+00:00,2025-07-01 22:11:00-04:00,22:11:00,22,11,209.28,209.28,209.28,209.28,636.0
2025-07-02 02:12:00+00:00,2025-07-02 02:12:00+00:00,2025-07-02 02:12:00+00:00,2025-07-01 22:12:00-04:00,22:12:00,22,12,209.26,209.26,209.26,209.26,189.0
2025-07-02 02:13:00+00:00,2025-07-02 02:13:00+00:00,2025-07-02 02:13:00+00:00,2025-07-01 22:13:00-04:00,22:13:00,22,13,209.2501,209.2501,209.2,209.2,1939.0
2025-07-02 02:14:00+00:00,2025-07-02 02:14:00+00:00,2025-07-02 02:14:00+00:00,2025-07-01 22:14:00-04:00,22:14:00,22,14,209.3,209.3,209.2,209.2,832.0
