timestamp,timestamp_str,timestamp_utc,timestamp_et,time_et,hour_et,minute_et,open,high,low,close,volume
2025-07-02 00:00:00+00:00,2025-07-02 00:00:00+00:00,2025-07-02 00:00:00+00:00,2025-07-01 20:00:00-04:00,20:00:00,20,0,13.47,13.47,13.47,13.47,1290042.0
2025-07-02 00:01:00+00:00,2025-07-02 00:01:00+00:00,2025-07-02 00:01:00+00:00,2025-07-01 20:01:00-04:00,20:01:00,20,1,13.46,13.47,13.46,13.47,2019.0
2025-07-02 00:02:00+00:00,2025-07-02 00:02:00+00:00,2025-07-02 00:02:00+00:00,2025-07-01 20:02:00-04:00,20:02:00,20,2,13.47,13.47,13.47,13.47,2602.0
2025-07-02 00:04:00+00:00,2025-07-02 00:04:00+00:00,2025-07-02 00:04:00+00:00,2025-07-01 20:04:00-04:00,20:04:00,20,4,13.47,13.47,13.47,13.47,7791.0
2025-07-02 00:05:00+00:00,2025-07-02 00:05:00+00:00,2025-07-02 00:05:00+00:00,2025-07-01 20:05:00-04:00,20:05:00,20,5,13.47,13.47,13.47,13.47,168.0
2025-07-02 00:06:00+00:00,2025-07-02 00:06:00+00:00,2025-07-02 00:06:00+00:00,2025-07-01 20:06:00-04:00,20:06:00,20,6,13.47,13.4701,13.47,13.4701,278.0
2025-07-02 00:07:00+00:00,2025-07-02 00:07:00+00:00,2025-07-02 00:07:00+00:00,2025-07-01 20:07:00-04:00,20:07:00,20,7,13.47,13.49,13.47,13.48,4418.0
2025-07-02 00:08:00+00:00,2025-07-02 00:08:00+00:00,2025-07-02 00:08:00+00:00,2025-07-01 20:08:00-04:00,20:08:00,20,8,13.49,13.49,13.49,13.49,413.0
2025-07-02 00:10:00+00:00,2025-07-02 00:10:00+00:00,2025-07-02 00:10:00+00:00,2025-07-01 20:10:00-04:00,20:10:00,20,10,13.47,13.47,13.47,13.47,587.0
2025-07-02 00:12:00+00:00,2025-07-02 00:12:00+00:00,2025-07-02 00:12:00+00:00,2025-07-01 20:12:00-04:00,20:12:00,20,12,13.4602,13.4602,13.4602,13.4602,5013.0
2025-07-02 00:14:00+00:00,2025-07-02 00:14:00+00:00,2025-07-02 00:14:00+00:00,2025-07-01 20:14:00-04:00,20:14:00,20,14,13.48,13.4897,13.48,13.4897,409.0
2025-07-02 00:16:00+00:00,2025-07-02 00:16:00+00:00,2025-07-02 00:16:00+00:00,2025-07-01 20:16:00-04:00,20:16:00,20,16,13.46,13.46,13.46,13.46,5067.0
2025-07-02 00:22:00+00:00,2025-07-02 00:22:00+00:00,2025-07-02 00:22:00+00:00,2025-07-01 20:22:00-04:00,20:22:00,20,22,13.4505,13.4505,13.4505,13.4505,495.0
2025-07-02 00:25:00+00:00,2025-07-02 00:25:00+00:00,2025-07-02 00:25:00+00:00,2025-07-01 20:25:00-04:00,20:25:00,20,25,13.48,13.5,13.46,13.5,14357.0
2025-07-02 00:30:00+00:00,2025-07-02 00:30:00+00:00,2025-07-02 00:30:00+00:00,2025-07-01 20:30:00-04:00,20:30:00,20,30,13.4501,13.4501,13.4501,13.4501,1000.0
2025-07-02 00:31:00+00:00,2025-07-02 00:31:00+00:00,2025-07-02 00:31:00+00:00,2025-07-01 20:31:00-04:00,20:31:00,20,31,13.46,13.46,13.46,13.46,215.0
2025-07-02 00:36:00+00:00,2025-07-02 00:36:00+00:00,2025-07-02 00:36:00+00:00,2025-07-01 20:36:00-04:00,20:36:00,20,36,13.4501,13.4501,13.4501,13.4501,196.0
2025-07-02 00:42:00+00:00,2025-07-02 00:42:00+00:00,2025-07-02 00:42:00+00:00,2025-07-01 20:42:00-04:00,20:42:00,20,42,13.45,13.45,13.45,13.45,100.0
2025-07-02 00:44:00+00:00,2025-07-02 00:44:00+00:00,2025-07-02 00:44:00+00:00,2025-07-01 20:44:00-04:00,20:44:00,20,44,13.46,13.46,13.46,13.46,125.0
2025-07-02 00:45:00+00:00,2025-07-02 00:45:00+00:00,2025-07-02 00:45:00+00:00,2025-07-01 20:45:00-04:00,20:45:00,20,45,13.4695,13.4695,13.4695,13.4695,223.0
